,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
299,MS,MRO,MRO,MTL,MWV,MRO,MMM,MO,MMM,MHS,MIL,MMM,MKC,MKC,MKC,MMC,MMC,MET,MJN,MMC,MHK,MCO,MAS,MA,MAR,MCO,MDT,MET
300,MSFT,MS,MS,MTLQQ,MYG,MS,MO,MOLX,MO,MI,MKC,MO,MMC,MMC,MMC,MMI,MMI,MJN,MKC,MMM,MJN,MDLZ,MAT,MAA,MAS,MDLZ,MET,META
301,MSI,MSFT,MSFT,MU,MZIAQ,MSFT,MOLX,MON,MOLX,MIL,MMC,MOLX,MMM,MMM,MMM,MMM,MMM,MKC,MMC,MNK,MKC,MDT,MCD,MAC,MCD,MDT,MGM,MGM
302,MST,MSI,MSI,MWI,NAV,MSI,MRK,MRK,MON,MKC,MMM,MON,MO,MO,MO,MO,MO,MMC,MMM,MNST,MLM,MET,MCHP,MAR,MCHP,MET,MHK,MHK
303,MTLQQ,MST,MST,MWV,NC,MTG,MRO,MRO,MRK,MMC,MO,MRK,MOLX,MOLX,MOLX,MOLX,MOLX,MMM,MNST,MO,MMC,MHK,MCK,MAS,MCK,MGM,MKC,MKC
304,MU,MTG,MTG,MYG,NCC,MTLQQ,MS,MS,MRO,MMM,MOLX,MRO,MON,MON,MON,MON,MON,MNST,MO,MON,MMM,MJN,MCO,MAT,MCO,MHK,MKTX,MKTX
305,MWI,MTLQQ,MTLQQ,MZIAQ,NCE,MU,MSFT,MSFT,MS,MO,MON,MS,MRK,MRK,MRK,MRK,MOS,MO,MON,MOS,MNK,MKC,MDLZ,MCD,MDLZ,MKC,MLM,MLM
306,MWV,MU,MU,NAV,NEE,MWV,MSI,MSI,MSFT,MOLX,MRK,MSFT,MRO,MRO,MRO,MRO,MPC,MOLX,MOS,MPC,MNST,MLM,MDT,MCHP,MDT,MKTX,MMC,MMC
307,MYG,MWI,MWI,NC,NEM,MXIM,MTG,MTG,MSI,MON,MRO,MSI,MS,MS,MS,MS,MRK,MON,MPC,MRK,MO,MMC,MET,MCK,MET,MLM,MMM,MMM
308,MZIAQ,MWV,MWV,NCC,NGH,MYG,MTLQQ,MTLQQ,MTG,MRK,MS,MTB,MSFT,MSFT,MSFT,MSFT,MRO,MOS,MRK,MRO,MON,MMM,MGM,MCO,MGM,MMC,MNST,MNST
309,NAE,MYG,MYG,NCE,NKE,NAV,MU,MU,MTLQQ,MRO,MSFT,MTG,MSI,MSI,MSI,MSI,MS,MPC,MRO,MS,MOS,MNK,MHK,MDLZ,MHK,MMM,MO,MO
310,NAV,MZIAQ,MZIAQ,NEE,NLV,NBR,MWV,MWV,MU,MS,MSI,MTLQQ,MTB,MTB,MTB,MTB,MSFT,MRK,MS,MSFT,MPC,MNST,MKC,MDT,MKC,MNST,MOS,MOH
311,NC,NAE,NAV,NEM,NMK,NCC,MWW,MWW,MWV,MSFT,MTB,MU,MTG,MTLQQ,MU,MU,MSI,MRO,MSFT,MSI,MRK,MO,MLM,MET,MKTX,MO,MPC,MOS
312,NCC,NAV,NC,NGH,NOC,NCR,MXIM,MXIM,MWW,MSI,MTG,MUR,MTLQQ,MTW,MUR,MUR,MTB,MS,MSI,MTB,MRO,MON,MMC,MGM,MLM,MOS,MPWR,MPC
313,NEE,NC,NCC,NKE,NOVL,NEE,MYG,MYG,MXIM,MTB,MTLQQ,MWV,MTW,MU,MWV,MWV,MU,MSFT,MTB,MU,MS,MOS,MMM,MHK,MMC,MPC,MRK,MPWR
314,NEM,NCC,NEE,NLC,NRTLQ,NEM,NAV,NAV,MYG,MTG,MU,MWW,MU,MUR,MWW,MWW,MUR,MSI,MU,MUR,MSFT,MPC,MNST,MKC,MMM,MRK,MRNA,MRK
315,NKE,NEE,NEM,NLV,NSC,NI,NBR,NBR,NAV,MTLQQ,MUR,MXIM,MUR,MWV,MYL,MYL,MWV,MTB,MUR,MWV,MSI,MRK,MO,MLM,MNST,MRO,MRO,MRNA
316,NLC,NEM,NKE,NMK,NSI,NKE,NCC,NCC,NBR,MU,MWV,MYL,MWV,MWW,NBL,NBL,MYL,MU,MWV,MYL,MTB,MRO,MON,MMC,MO,MS,MS,MRO
317,NMK,NKE,NLC,NOC,NSM,NMK,NCR,NCR,NCC,MWV,MWW,NBR,MWW,MYL,NBR,NBR,NBL,MUR,MYL,NAVI,MU,MS,MOS,MMM,MOS,MSCI,MSCI,MS
318,NOC,NLC,NLV,NOVL,NTAP,NOC,NE,NE,NCR,MWW,MXIM,NCC,MYL,NBL,NDAQ,NDAQ,NBR,MWV,NBL,NBL,MUR,MSFT,MPC,MNST,MPC,MSFT,MSFT,MSCI
319,NOVL,NLV,NMK,NRTLQ,NTRS,NOVL,NEE,NEE,NE,MXIM,MYG,NCR,NBL,NBR,NEE,NEE,NDAQ,MYL,NBR,NBR,MYL,MSI,MRK,MO,MRK,MSI,MSI,MSFT
320,NRTLQ,NMK,NOC,NSC,NUE,NRTLQ,NEM,NEM,NEE,MYG,MYL,NE,NBR,NDAQ,NEM,NEM,NE,NBL,NDAQ,NDAQ,NAVI,MTB,MRO,MOS,MRO,MTB,MTB,MSI
321,NSC,NOC,NOVL,NSI,NWL,NSC,NI,NFB,NEM,MYL,NAV,NEE,NCC,NE,NI,NFLX,NEE,NBR,NE,NE,NBL,MTD,MS,MPC,MS,MTD,MTCH,MTB
322,NSI,NOVL,NRTLQ,NSM,NXTL,NSI,NKE,NI,NFB,NAV,NBR,NEM,NE,NEE,NKE,NFX,NEM,NDAQ,NEE,NEE,NDAQ,MU,MSFT,MRK,MSCI,MU,MTD,MTCH
323,NSM,NRTLQ,NSC,NTRS,NYT,NSM,NMK,NKE,NI,NBR,NCC,NI,NEE,NEM,NOC,NI,NFLX,NE,NEM,NEM,NEE,MUR,MSI,MRO,MSFT,MXIM,MU,MTD
324,NUE,NSC,NSI,NUE,OAT,NTAP,NOC,NOC,NKE,NCC,NCR,NKE,NEM,NI,NOV,NKE,NFX,NEE,NFLX,NFLX,NEM,MYL,MTB,MS,MSI,NCLH,NCLH,MU
325,NWL,NSI,NSM,NWL,ODP,NTRS,NOVL,NOVL,NOC,NCR,NE,NOC,NI,NKE,NOVL,NOC,NI,NEM,NFX,NFX,NFLX,NAVI,MTD,MSCI,MTB,NDAQ,NDAQ,NCLH
326,NYN,NSM,NUE,NXTL,OI,NUE,NRTLQ,NSC,NOVL,NE,NEE,NOV,NKE,NOC,NSC,NOV,NKE,NFLX,NI,NI,NFX,NBL,MU,MSFT,MTD,NEE,NEE,NDAQ
327,NYT,NUE,NWL,NYT,OK,NVLS,NSC,NSM,NSC,NEE,NEM,NOVL,NOC,NOV,NSM,NOVL,NOC,NFX,NKE,NKE,NI,NDAQ,MYL,MSI,MU,NEM,NEM,NDSN
328,OAT,NWL,NYT,OAT,OKE,NWL,NSM,NTAP,NSM,NEM,NFB,NSC,NOV,NOVL,NTAP,NRG,NOV,NI,NLSN,NLSN,NKE,NEE,NAVI,MTB,MXIM,NFLX,NFLX,NEE
329,OKE,NYN,OAT,OI,OMC,NXTL,NTAP,NTRS,NTAP,NFB,NI,NSM,NOVL,NSC,NTRS,NSC,NRG,NKE,NOC,NOC,NLSN,NEM,NBL,MTD,MYL,NI,NI,NEM
330,OM,NYT,OI,OKE,OMX,NYT,NTRS,NUE,NTRS,NI,NKE,NTAP,NSC,NSM,NUE,NSM,NSC,NOC,NOV,NOV,NOC,NFLX,NCLH,MU,NBL,NKE,NKE,NFLX
331,OMX,OAT,OKE,OMC,ONE,OAT,NUE,NVDA,NUE,NKE,NOC,NTRS,NSM,NTAP,NVDA,NTAP,NTAP,NOV,NRG,NRG,NOV,NFX,NDAQ,MXIM,NCLH,NLOK,NLOK,NI
332,ONE,OKE,OMC,OMX,ORCL,ODP,NVDA,NVLS,NVDA,NOC,NOV,NUE,NTAP,NTRS,NVLS,NTRS,NTRS,NRG,NSC,NSC,NRG,NI,NEE,MYL,NDAQ,NLSN,NLSN,NKE
333,ORCL,OMX,OMX,ONE,OWENQ,OK,NVLS,NWL,NVLS,NOVL,NOVL,NVDA,NTRS,NUE,NWL,NUE,NUE,NSC,NTAP,NTAP,NSC,NKE,NEM,NBL,NEE,NOC,NOC,NOC
334,ORX,ONE,ONE,ORCL,OXY,OKE,NWL,NXTL,NWL,NSC,NSC,NVLS,NUE,NVDA,NYT,NVDA,NVDA,NTAP,NTRS,NTRS,NTAP,NLSN,NFLX,NCLH,NEM,NOV,NOW,NOW
335,OWENQ,ORCL,ORCL,ORX,PAYX,OMC,NXTL,NYT,NXTL,NSM,NSM,NWL,NVDA,NVLS,NYX,NVLS,NVLS,NTRS,NUE,NUE,NTRS,NOC,NFX,NDAQ,NFLX,NOW,NRG,NRG
336,OXY,ORX,ORX,OWENQ,PBI,OMX,NYT,ODP,NYT,NTAP,NTAP,NYT,NVLS,NWL,ODP,NWL,NWL,NUE,NVDA,NVDA,NUE,NOV,NI,NEE,NI,NRG,NSC,NSC
337,PAC,OWENQ,OWENQ,OXY,PBY,ONE,ODP,OMC,ODP,NTRS,NTRS,ODP,NWL,NYT,OI,NYX,NYX,NVDA,NWL,NWL,NVDA,NRG,NKE,NEM,NKE,NSC,NTAP,NTAP
338,PAS,OXY,OXY,PAYX,PCAR,ORCL,OMC,OMX,OMC,NUE,NUE,OMC,NYT,NYX,OMC,OI,OI,NWL,NWSA,NWSA,NWL,NSC,NLSN,NFLX,NLOK,NTAP,NTRS,NTRS
339,PBI,PAC,PAS,PBI,PCG,OXY,OMX,ONE,OMX,NVDA,NVDA,OMX,NYX,ODP,ORCL,OKE,OKE,NYX,OI,OI,NWS,NTAP,NOC,NFX,NLSN,NTRS,NUE,NUE
340,PBY,PAS,PBI,PBY,PCH,PALM,ONE,ORCL,ONE,NVLS,NVLS,ORCL,ODP,OI,ORLY,OMC,OMC,OI,OKE,OKE,NWSA,NTRS,NOV,NI,NOC,NUE,NVDA,NVDA
341,PCAR,PBI,PBY,PCAR,PCS,PAYX,ORCL,OXY,ORCL,NWL,NWL,OXY,OMC,OMC,OXY,ORCL,ORCL,OKE,OMC,OMC,O,NUE,NRG,NKE,NOV,NVDA,NVR,NVR
342,PCG,PBY,PCAR,PCG,PD,PBI,OXY,PAYX,OXY,NXTL,NYT,PAYX,OMX,ORCL,PAYX,ORLY,ORLY,OMC,ORCL,ORCL,OI,NVDA,NSC,NKTR,NOW,NVR,NWL,NWL
343,PCH,PCAR,PCG,PCH,PDG,PCAR,PALM,PBG,PAYX,NYT,ODP,PBG,ORCL,OXY,PBCT,OXY,OXY,ORCL,ORLY,ORLY,OKE,NWL,NTAP,NLSN,NRG,NWL,NWS,NWS
344,PD,PCG,PCH,PCS,PEG,PCG,PAYX,PBI,PBG,ODP,OMC,PBI,OXY,PAYX,PBG,PAYX,PAYX,ORLY,OXY,OXY,OMC,NWS,NTRS,NOC,NSC,NWS,NWSA,NWSA
345,PDG,PCH,PD,PD,PEP,PCH,PBG,PCAR,PBI,OMC,OMX,PCAR,PAYX,PBCT,PBI,PBCT,PBCT,OXY,PAYX,PAYX,ORCL,NWSA,NUE,NOV,NTAP,NWSA,NXPI,NXPI
346,PEG,PD,PDG,PDG,PFE,PCS,PBI,PCG,PCAR,OMX,ORCL,PCG,PBG,PBG,PCAR,PBI,PBI,PAYX,PBCT,PBCT,ORLY,O,NVDA,NRG,NTRS,O,O,O
347,PEL,PDG,PEG,PEG,PG,PD,PCAR,PCL,PCG,ORCL,OXY,PCL,PBI,PBI,PCG,PCAR,PCAR,PBCT,PBI,PBI,OXY,OKE,NWL,NSC,NUE,ODFL,ODFL,ODFL
348,PEP,PEG,PEP,PEP,PGL,PDG,PCG,PCS,PCL,OXY,PAYX,PD,PCAR,PCAR,PCL,PCG,PCG,PBI,PCAR,PCAR,PAYX,OMC,NWS,NTAP,NVDA,OKE,OGN,OGN
349,PET,PEL,PET,PFE,PGN,PEG,PCS,PD,PCS,PAYX,PBG,PDCO,PCG,PCG,PCP,PCL,PCL,PCAR,PCG,PCG,PBCT,ORCL,NWSA,NTRS,NVR,OMC,OKE,OKE
350,PFE,PEP,PFE,PG,PGR,PEP,PD,PEG,PD,PBG,PBI,PEG,PCL,PCL,PDCO,PCP,PCP,PCG,PCL,PCL,PBI,ORLY,O,NUE,NWL,ORCL,OMC,OMC
351,PG,PET,PG,PGL,PH,PFE,PDG,PEP,PEG,PBI,PCAR,PEP,PCP,PCP,PEG,PDCO,PDCO,PCL,PCP,PCP,PCAR,OXY,OKE,NVDA,NWS,ORLY,ORCL,ON
352,PGL,PFE,PGL,PGN,PHA,PG,PEG,PFE,PEP,PCAR,PCG,PFE,PDCO,PDCO,PEP,PEG,PEG,PCP,PDCO,PDCO,PCG,PAYX,OMC,NWL,NWSA,OTIS,ORLY,ORCL
353,PGN,PG,PGN,PGR,PHM,PGL,PEP,PFG,PFE,PCG,PCL,PFG,PEG,PEG,PFE,PEP,PEP,PDCO,PEG,PEG,PCL,PBCT,ORCL,NWS,O,OXY,OTIS,ORLY
354,PH,PGL,PGR,PH,PKI,PGN,PFE,PG,PFG,PCL,PD,PG,PEP,PEP,PFG,PFE,PFE,PEG,PEP,PEP,PCP,PBI,ORLY,NWSA,ODFL,PAYC,OXY,OTIS
355,PHA,PGN,PH,PHA,PLL,PGR,PG,PGL,PG,PD,PDCO,PGL,PFE,PFE,PG,PFG,PFG,PEP,PETM,PETM,PDCO,PCAR,OXY,O,OKE,PAYX,PAYC,OXY
356,PHB,PH,PHA,PHB,PNC,PH,PGL,PGN,PGL,PEG,PEG,PGN,PFG,PFG,PGN,PG,PG,PETM,PFE,PFE,PEG,PCG,PAYX,OKE,OMC,PBCT,PAYX,PARA
357,PHM,PHA,PHB,PHM,PNU,PHA,PGN,PGR,PGN,PEP,PEP,PGR,PG,PG,PGR,PGN,PGN,PFE,PFG,PFG,PEP,PDCO,PBCT,OMC,ORCL,PCAR,PBCT,PAYC
358,PKI,PHB,PHM,PKI,PNW,PHM,PGR,PH,PGR,PFE,PFE,PH,PGN,PGN,PH,PGR,PGR,PFG,PG,PG,PFE,PEG,PCAR,ORCL,ORLY,PEAK,PCAR,PAYX
359,PLL,PHM,PKI,PLL,PPG,PKI,PH,PHA,PH,PFG,PFG,PHM,PGR,PGR,PHM,PH,PH,PG,PGR,PGR,PFG,PEP,PCG,ORLY,OXY,PEG,PEAK,PCAR
360,PMI,PKI,PLL,PNC,PPL,PLL,PHA,PHM,PHM,PG,PG,PKI,PH,PH,PKI,PHM,PHM,PGR,PH,PH,PG,PFE,PDCO,OXY,PAYC,PEP,PEG,PCG
361,PNC,PLL,PNC,PNU,PRD,PNC,PHM,PKI,PKI,PGL,PGL,PLD,PHM,PHM,PLD,PKI,PKI,PH,PHM,PHM,PGR,PFG,PEG,PAYX,PAYX,PFE,PENN,PEAK
362,PNU,PNC,PNU,PPG,PSFT,PNW,PKI,PLL,PLD,PGN,PGN,PLL,PKI,PKI,PLL,PLD,PLD,PHM,PKI,PKI,PH,PG,PEP,PBCT,PBCT,PFG,PEP,PEG
363,PPG,PNU,PPG,PPL,PTC,PPG,PLL,PMCS,PLL,PGR,PGR,PMCS,PLD,PLD,PM,PLL,PLL,PKI,PLD,PLD,PHM,PGR,PFE,PCAR,PCAR,PG,PFE,PEP
364,PPL,PPG,PPL,PPW,PTV,PPL,PMCS,PNC,PMCS,PH,PH,PNC,PLL,PLL,PNC,PM,PM,PLD,PLL,PLL,PKI,PH,PFG,PCG,PEAK,PGR,PFG,PFE
365,PPW,PPL,PPW,PRD,PVN,PSFT,PNC,PNW,PNC,PHM,PHM,PNW,PNC,PM,PNW,PNC,PNC,PLL,PM,PM,PLD,PHM,PG,PEG,PEG,PH,PG,PFG
366,PRD,PPW,PRD,PSFT,PWJ,PTC,PNW,PPG,PNW,PKI,PKI,PPG,PNW,PNC,POM,PNW,PNW,PM,PNC,PNC,PM,PKI,PGR,PEP,PEP,PHM,PGR,PG
367,PVN,PRD,PTC,PTC,PX,PTV,PPG,PPL,PPG,PLD,PLD,PPL,POM,PNW,PPG,POM,POM,PNC,PNR,PNR,PNC,PLD,PH,PFE,PFE,PKG,PH,PGR
368,PX,PVN,PVN,PVN,QCOM,PVN,PPL,PRU,PPL,PLL,PLL,PRU,PPG,POM,PPL,PPG,PPG,PNR,PNW,PNW,PNR,PM,PHM,PFG,PFG,PKI,PHM,PH
369,PZE,PX,PX,PVT,QTRN,PWER,PSFT,PSFT,PRU,PMCS,PMCS,PSA,PPL,PPG,PRU,PPL,PPL,PNW,POM,POM,PNW,PNC,PKG,PG,PG,PLD,PKG,PHM
370,R,PZE,PZE,PX,R,PX,PTC,PTC,PSFT,PNC,PNC,PTV,PRU,PPL,PSA,PRU,PRGO,POM,PPG,PPG,POM,PNR,PKI,PGR,PGR,PM,PKI,PKG
371,RAD,R,R,R,RAD,Q,PTV,PTV,PTC,PNW,PNW,PX,PSA,PRU,PTV,PSA,PRU,PPG,PPL,PPL,PPG,PNW,PLD,PH,PH,PNC,PLD,PKI
372,RAL,RAD,RAD,RAD,RAL,QCOM,PVN,PVN,PTV,PPG,PPG,Q,PTV,PSA,PWR,PWR,PSA,PPL,PRGO,PRGO,PPL,PPG,PM,PHM,PHM,PNR,PM,PLD
373,RBD,RAL,RAL,RAL,RBK,QLGC,PWER,PWER,PVN,PPL,PPL,QCOM,PX,PTV,PX,PX,PWR,PRGO,PRU,PRU,PRGO,PPL,PNC,PKG,PKG,PNW,PNC,PM
374,RBK,RBD,RBD,RBD,RDC,QTRN,PX,PX,PWER,PRU,PRU,QLGC,Q,PX,PXD,PXD,PX,PRU,PSA,PSA,PRU,PRGO,PNR,PKI,PKI,POOL,PNR,PNC
375,RDC,RBK,RBK,RBK,RDS.A,R,Q,Q,PX,PTC,PSA,R,QCOM,PXD,Q,Q,PXD,PSA,PSX,PSX,PSA,PRU,PNW,PLD,PLD,PPG,PNW,PNR
376,RDS.A,RDC,RDC,RDC,RF,RAL,QCOM,QCOM,Q,PTV,PTC,RAI,QLGC,Q,QCOM,QCOM,QCOM,PSX,PVH,PVH,PSX,PSA,PPG,PM,PM,PPL,POOL,PNW
377,RLM,RDS.A,RDS.A,RDS.A,RIG,RBK,QLGC,QLGC,QCOM,PVN,PTV,RDC,R,QCOM,QLGC,QEP,QEP,PWR,PWR,PWR,PVH,PSX,PPL,PNC,PNC,PRGO,PPG,POOL
378,RML,RLM,RLM,RF,RLM,RDC,QTRN,QTRN,QLGC,PWER,PX,RF,RAI,QLGC,R,QLGC,R,PX,PX,PX,PWR,PVH,PRGO,PNR,PNR,PRU,PPL,PPG
379,RNB,RML,RML,RLM,RML,RDS.A,R,R,R,PX,Q,RHI,RDC,R,RAI,R,RAI,PXD,PXD,PXD,PX,PWR,PRU,PNW,PNW,PSA,PRU,PPL
380,ROH,RNB,RNB,RML,ROH,RF,RBK,RAI,RAI,Q,QCOM,RIG,RF,RAI,RDC,RAI,RDC,QCOM,QCOM,QCOM,PXD,PX,PSA,PPG,PPG,PSX,PSA,PRU
381,ROK,ROH,ROH,RNB,ROK,RHI,RDC,RATL,RBK,QCOM,QLGC,ROH,RHI,RDC,RF,RDC,RF,QEP,QEP,QEP,PYPL,PXD,PSX,PPL,PPL,PVH,PSX,PSA
382,RRD,ROK,ROK,ROH,RRD,RIG,RDS.A,RBK,RDC,QLGC,R,ROK,RIG,RF,RHI,RF,RHI,R,R,R,QCOM,PYPL,PVH,PRGO,PRGO,PWR,PTC,PSX
383,RSHCQ,RRD,RRD,ROK,RSHCQ,ROH,RF,RDC,RF,R,RAI,RRD,RL,RHI,RHT,RHI,RHT,RAI,RAI,RAI,QRVO,QCOM,PWR,PRU,PRU,PXD,PVH,PTC
384,RTN,RSHCQ,RSHCQ,RRD,RTN,ROK,RHI,RF,RHI,RAI,RBK,RSHCQ,ROH,RL,RL,RHT,RL,RDC,RDC,RCL,R,QRVO,PX,PSA,PSA,PYPL,PWR,PWR
385,RYAN,RTN,RTN,RSHCQ,RX,RRD,RIG,RHI,RIG,RBK,RDC,RTN,ROK,ROH,ROK,RL,ROK,RF,REGN,REGN,RAI,R,PXD,PSX,PSX,QCOM,PXD,PXD
386,RYC,RX,RX,RTN,S,RSHCQ,ROH,RIG,ROH,RDC,RF,RX,RRC,ROK,ROP,ROK,ROP,RHI,RF,RF,RCL,RAI,PYPL,PVH,PVH,QRVO,PYPL,PYPL
387,RYI,RYC,RYC,RX,SAF,RTN,ROK,ROH,ROK,RF,RHI,S,RRD,RRC,ROST,ROP,ROST,RHT,RHI,RHI,REGN,RCL,QCOM,PWR,PWR,RCL,QCOM,QCOM
388,S,RYI,RYI,RYC,SCHW,RX,RRD,ROK,RRD,RHI,RIG,SAF,RSHCQ,RRD,RRC,ROST,RRC,RL,RHT,RHT,RF,REGN,QRVO,PXD,PXD,RE,QRVO,QRVO
389,SAF,S,S,S,SCI,S,RSHCQ,RRD,RSHCQ,RIG,ROH,SANM,RTN,RSG,RRD,RRC,RRD,ROK,RIG,RIG,RHI,RF,RCL,PYPL,PYPL,REG,RCL,RCL
390,SB,SAF,SAF,SAF,SEE,SAF,RTN,RSHCQ,RTN,ROH,ROK,SBL,RX,RSHCQ,RSG,RRD,RSG,ROP,RL,RL,RHT,RHI,RE,QCOM,QCOM,REGN,RE,RE
391,SCI,SB,SAI,SCHW,SEG,SANM,RX,RTN,RX,ROK,RRD,SBUX,S,RTN,RSHCQ,RSG,RTN,ROST,ROK,ROK,RIG,RHT,REG,QRVO,QRVO,RF,REG,REG
392,SFA,SCI,SCHW,SCI,SFA,SAPE,S,RX,S,RRD,RSHCQ,SCHW,SAF,RX,RTN,RSHCQ,S,RRC,ROP,ROP,RL,RIG,REGN,RCL,RCL,RHI,REGN,REGN
393,SFS,SEG,SCI,SEE,SGID,SBL,SAF,S,SAF,RSHCQ,RTN,SE,SBUX,S,RX,RTN,SBUX,RSG,ROST,ROST,ROK,RL,RF,RE,RE,RJF,RF,RF
394,SGID,SFA,SEG,SEG,SGP,SBUX,SANM,SAF,SANM,RTN,RX,SEE,SCHW,SBUX,S,S,SCG,RTN,RRC,RRC,ROP,ROK,RHI,REG,REG,RL,RHI,RHI
395,SGP,SFS,SFA,SFA,SHW,SCHW,SAPE,SANM,SBL,RX,S,SGP,SE,SCG,SBUX,SBUX,SCHW,S,RSG,RSG,ROST,ROP,RHT,REGN,REGN,RMD,RJF,RJF
396,SHN,SGID,SGID,SGID,SIAL,SEBL,SBL,SBL,SBUX,S,SAF,SHLD,SEE,SCHW,SCG,SCG,SE,SBUX,RTN,RTN,RRC,ROST,RJF,RF,RF,ROK,RL,RL
397,SHW,SGP,SGP,SGP,SLB,SEE,SBUX,SBUX,SCHW,SAF,SANM,SHW,SGP,SE,SCHW,SCHW,SEE,SCG,SBUX,SBUX,RSG,RRC,RL,RHI,RHI,ROL,RMD,RMD
398,SIAL,SHW,SHW,SHW,SLM,SFA,SCHW,SCHW,SDS,SANM,SBL,SIAL,SHLD,SEE,SE,SE,SHLD,SCHW,SCG,SCG,RTN,RSG,RMD,RHT,RJF,ROP,ROK,ROK
